[-2.5380453346514336e-06, array([3.28045525e-06]), array([4.43151469e-06])]
[-2.547052029646318e-06, array([3.35610834e-06]), array([4.44270037e-06])]
[-2.5535407765588917e-06, array([3.36687664e-06]), array([4.50341231e-06])]
[-2.5988695361158058e-06, array([3.40903472e-06]), array([4.63712873e-06])]
[-2.59966601326391e-06, array([3.43867484e-06]), array([4.73114087e-06])]
[-2.6000679210647886e-06, array([3.45363145e-06]), array([4.77858004e-06])]
[-2.6011962563913446e-06, array([3.49764551e-06]), array([4.91176305e-06])]
[-2.6134407318522497e-06, array([3.57359958e-06]), array([5.14159391e-06])]
[-2.6242164724888314e-06, array([3.60424745e-06]), array([5.19532695e-06])]
[-2.6364666712593517e-06, array([3.63908891e-06]), array([5.22310209e-06])]
[-2.6403925159666274e-06, array([3.65025462e-06]), array([5.23200324e-06])]
[-2.689799028211784e-06, array([3.65914494e-06]), array([5.2607598e-06])]
[-2.7411539969924695e-06, array([3.7187573e-06]), array([5.45358153e-06])]
[-2.755050105230632e-06, array([3.73488777e-06]), array([5.50575704e-06])]
[-2.7768670823479597e-06, array([3.74431624e-06]), array([5.52198402e-06])]
[-2.7846523250619185e-06, array([3.75516282e-06]), array([5.58274466e-06])]
[-2.7890933072008706e-06, array([3.7613501e-06]), array([5.61740472e-06])]
[-2.806923751786826e-06, array([3.76333059e-06]), array([5.65590939e-06])]
[-2.8568761137602415e-06, array([3.79537284e-06]), array([5.76378102e-06])]
[-2.866786799319078e-06, array([3.82111399e-06]), array([5.76692025e-06])]
[-2.8763491067953003e-06, array([3.83922757e-06]), array([5.76912926e-06])]
[-2.8848597327571434e-06, array([3.85534899e-06]), array([5.81400123e-06])]
[-2.895794435641937e-06, array([3.88142594e-06]), array([5.84783354e-06])]
[-2.900346600249371e-06, array([3.89765047e-06]), array([5.89969331e-06])]
[-2.905552449563583e-06, array([3.91620483e-06]), array([5.95900008e-06])]
[-2.9314855655177437e-06, array([3.97243299e-06]), array([5.96214125e-06])]
[-2.9467923991442505e-06, array([4.00980555e-06]), array([6.00918371e-06])]
[-2.9690006341863013e-06, array([4.01525496e-06]), array([6.06681268e-06])]
[-3.0074178607410587e-06, array([4.0246817e-06]), array([6.16650296e-06])]
[-3.042359267459618e-06, array([4.07055296e-06]), array([6.25717371e-06])]
[-3.0733384990721052e-06, array([4.13038375e-06]), array([6.33756286e-06])]
[-3.1304700006489263e-06, array([4.16638055e-06]), array([6.48581551e-06])]
[-3.1534875335579926e-06, array([4.18432801e-06]), array([6.54554456e-06])]
[-3.1814482300965884e-06, array([4.20760279e-06]), array([6.63733826e-06])]
[-3.238364574547927e-06, array([4.23679733e-06]), array([6.75247896e-06])]
[-3.29720131403983e-06, array([4.25184818e-06]), array([6.76495735e-06])]
[-3.317250270790557e-06, array([4.30450881e-06]), array([6.7908204e-06])]
[-3.3264248048452853e-06, array([4.32080085e-06]), array([6.79882185e-06])]
[-3.3380283066803466e-06, array([4.34140622e-06]), array([6.8089417e-06])]
[-3.3391126454792986e-06, array([4.35490639e-06]), array([6.82245837e-06])]
[-3.3917494350424532e-06, array([4.36502472e-06]), array([6.83258906e-06])]
[-3.456366869706603e-06, array([4.38493972e-06]), array([6.87731834e-06])]
[-3.522694862388748e-06, array([4.40538191e-06]), array([6.9232317e-06])]
[-3.828239462168538e-06, array([4.44389126e-06]), array([6.9495051e-06])]
[-3.885495350145226e-06, array([4.4570064e-06]), array([6.95845303e-06])]
[-3.914181185158384e-06, array([4.51116828e-06]), array([6.96781325e-06])]
[-3.9974833431317844e-06, array([4.66845153e-06]), array([6.98129538e-06])]
[-4.060779266918725e-06, array([4.73035908e-06]), array([6.98457355e-06])]
[-4.090652615825302e-06, array([4.78118522e-06]), array([7.00376435e-06])]
[-4.197980346449369e-06, array([4.81770648e-06]), array([7.05277179e-06])]
[-4.241607603736404e-06, array([4.83255187e-06]), array([7.07269264e-06])]
[-4.260360199928194e-06, array([4.83270306e-06]), array([7.13178848e-06])]
[-4.296666271839752e-06, array([4.83274474e-06]), array([7.16885008e-06])]
[-4.324348218217802e-06, array([4.8615684e-06]), array([7.20624695e-06])]
[-4.34873125445171e-06, array([4.91732445e-06]), array([7.23918717e-06])]
[-4.385499792055832e-06, array([5.00488305e-06]), array([7.29091606e-06])]
[-4.4150915562454275e-06, array([5.00692273e-06]), array([7.3325481e-06])]
[-4.43578164165851e-06, array([5.03173844e-06]), array([7.38546409e-06])]
[-4.463163972955239e-06, array([5.06056166e-06]), array([7.4330396e-06])]
[-4.521862928628889e-06, array([5.07731523e-06]), array([7.46782207e-06])]
[-4.547890953628331e-06, array([5.13327153e-06]), array([7.48117336e-06])]
[-4.5515370138705464e-06, array([5.27808966e-06]), array([7.51572727e-06])]
[-4.6047267076131525e-06, array([5.28808795e-06]), array([7.53023552e-06])]
[-4.65696708030587e-06, array([5.32073885e-06]), array([7.54448484e-06])]
[-4.794560675018986e-06, array([5.35365573e-06]), array([7.58201549e-06])]
[-5.017144221850758e-06, array([5.40690498e-06]), array([7.64272837e-06])]
[-5.048189753092231e-06, array([5.42767406e-06]), array([7.66640852e-06])]
[-5.093981478902362e-06, array([5.46461019e-06]), array([7.69123993e-06])]
[-5.142802317683179e-06, array([5.46675597e-06]), array([7.7305973e-06])]
[-5.175440310083615e-06, array([5.46819047e-06]), array([7.75690872e-06])]
[-5.220419766818767e-06, array([5.49330752e-06]), array([7.79233593e-06])]
[-5.2953982363296204e-06, array([5.53517637e-06]), array([7.85139129e-06])]
[-5.332950777730602e-06, array([5.58168469e-06]), array([7.8876632e-06])]
[-5.364329069462155e-06, array([5.62054628e-06]), array([7.91797141e-06])]
[-5.367980545248017e-06, array([5.66803131e-06]), array([7.95500505e-06])]
[-5.377283152555102e-06, array([5.68121463e-06]), array([8.04935303e-06])]
[-5.389079362621988e-06, array([5.73161857e-06]), array([8.16899139e-06])]
[-5.401760004407902e-06, array([5.7525448e-06]), array([8.21866171e-06])]
[-5.424377969106137e-06, array([5.78987009e-06]), array([8.30725671e-06])]
[-5.455098188334338e-06, array([5.83002542e-06]), array([8.35402082e-06])]
[-5.489830598473023e-06, array([5.85940679e-06]), array([8.40689252e-06])]
[-5.5242467964933445e-06, array([5.89501716e-06]), array([8.44510418e-06])]
[-5.528933615657711e-06, array([5.94739964e-06]), array([8.47793876e-06])]
[-5.539916283651323e-06, array([6.00512117e-06]), array([8.68295002e-06])]
[-5.572112673023752e-06, array([6.02401805e-06]), array([8.73245053e-06])]
[-5.633543978052826e-06, array([6.0320257e-06]), array([8.73491475e-06])]
[-5.7661771384163055e-06, array([6.04931459e-06]), array([8.74023512e-06])]
[-5.8811846999886765e-06, array([6.08678147e-06]), array([8.78107285e-06])]
[-5.961152535551563e-06, array([6.11283319e-06]), array([8.78904438e-06])]
[-5.9673433578963685e-06, array([6.17203342e-06]), array([8.80080771e-06])]
[-5.973956085246596e-06, array([6.23526815e-06]), array([8.86150242e-06])]
[-6.00021373352087e-06, array([6.28343925e-06]), array([8.88217452e-06])]
[-6.055452353856306e-06, array([6.5751136e-06]), array([9.00734337e-06])]
[-6.06415983031893e-06, array([6.58341628e-06]), array([9.06816479e-06])]
[-6.120307776498279e-06, array([6.58978226e-06]), array([9.11479883e-06])]
